trip_id,arrival_time,departure_time,stop_id,stop_sequence
250-1@1#700,,,5198,11
250-1@1#700,,,1299,12
250-1@1#700,,,1295,13
250-1@1#700,,,1289,14
250-1@1#700,,,1874,15
250-1@1#700,,,1870,16
250-1@1#700,,,1880,17
250-1@1#700,,,1747,18
250-1@1#700,,,1751,19
250-1@1#700,,,1764,20
250-1@1#700,,,1766,21
250-1@1#700,,,1752,22
250-1@1#700,,,1756,23
250-1@1#700,,,1730,24
250-1@1#700,,,5181,25
250-1@1#700,,,1784,26
250-1@1#700,,,1786,27
250-1@1#700,,,1782,28
250-1@1#700,,,1780,29
250-1@1#700,,,1788,30
250-1@1#700,,,1792,31
250-1@1#700,,,5456,32
250-1@1#700,,,5453,33
250-1@1#700,,,2079,34
250-1@1#700,,,5839,35
250-1@1#700,,,2076,36
250-1@1#700,,,5840,37
250-1@1#700,,,2074,38
250-1@1#700,,,1630,39
250-1@1#700,,,1625,40
250-1@1#700,,,5842,41
250-1@1#700,07:35:00,07:35:00,5329,42
250-1@1#715,07:15:00,07:15:00,5742,1
250-1@1#715,,,2472,2
250-1@1#715,,,2471,3
250-1@1#715,,,2469,4
250-1@1#715,,,5988,5
250-1@1#715,,,1317,6
250-1@1#715,,,1320,7
250-1@1#715,,,1318,8
250-1@1#715,,,1312,9
250-1@1#715,,,1311,10
250-1@1#715,,,5198,11
250-1@1#715,,,1299,12
250-1@1#715,,,1295,13
250-1@1#715,,,1289,14
250-1@1#715,,,1874,15
250-1@1#715,,,1870,16
250-1@1#715,,,1880,17
250-1@1#715,,,1747,18
250-1@1#715,,,1751,19
250-1@1#715,,,1764,20
250-1@1#715,,,1766,21
250-1@1#715,,,1752,22
250-1@1#715,,,1756,23
250-1@1#715,,,1730,24
250-1@1#715,,,5181,25
250-1@1#715,,,1784,26
250-1@1#715,,,1786,27
250-1@1#715,,,1782,28
250-1@1#715,,,1780,29
250-1@1#715,,,1788,30
250-1@1#715,,,1792,31
250-1@1#715,,,5456,32
250-1@1#715,,,5453,33
250-1@1#715,,,2079,34
250-1@1#715,,,5839,35
250-1@1#715,,,2076,36
250-1@1#715,,,5840,37
250-1@1#715,,,2074,38
250-1@1#715,,,1630,39
250-1@1#715,,,1625,40
250-1@1#715,,,5842,41
250-1@1#715,07:50:00,07:50:00,5329,42
250-1@1#730,07:30:00,07:30:00,5742,1
250-1@1#730,,,2472,2
250-1@1#730,,,2471,3
250-1@1#730,,,2469,4
250-1@1#730,,,5988,5
250-1@1#730,,,1317,6
250-1@1#730,,,1320,7
250-1@1#730,,,1318,8
250-1@1#730,,,1312,9
250-1@1#730,,,1311,10
250-1@1#730,,,5198,11
250-1@1#730,,,1299,12
250-1@1#730,,,1295,13
250-1@1#730,,,1289,14
250-1@1#730,,,1874,15
250-1@1#730,,,1870,16
250-1@1#730,,,1880,17
250-1@1#730,,,1747,18
250-1@1#730,,,1751,19
250-1@1#730,,,1764,20
250-1@1#730,,,1766,21
250-1@1#730,,,1752,22
250-1@1#730,,,1756,23
250-1@1#730,,,1730,24
250-1@1#730,,,5181,25
250-1@1#730,,,1784,26
250-1@1#730,,,1786,27
250-1@1#730,,,1782,28
250-1@1#730,,,1780,29
250-1@1#730,,,1788,30
250-1@1#730,,,1792,31
250-1@1#730,,,5456,32
250-1@1#730,,,5453,33
250-1@1#730,,,2079,34
250-1@1#730,,,5839,35
250-1@1#730,,,2076,36
250-1@1#730,,,5840,37
250-1@1#730,,,2074,38
250-1@1#730,,,1630,39
250-1@1#730,,,1625,40
250-1@1#730,,,5842,41
250-1@1#730,08:05:00,08:05:00,5329,42
250-1@1#755,07:55:00,07:55:00,5742,1
250-1@1#755,,,2472,2
250-1@1#755,,,2471,3
250-1@1#755,,,2469,4
250-1@1#755,,,5988,5
250-1@1#755,,,1317,6
250-1@1#755,,,1320,7
250-1@1#755,,,1318,8
250-1@1#755,,,1312,9
250-1@1#755,,,1311,10
250-1@1#755,,,5198,11
250-1@1#755,,,1299,12
250-1@1#755,,,1295,13
250-1@1#755,,,1289,14
250-1@1#755,,,1874,15
250-1@1#755,,,1870,16
250-1@1#755,,,1880,17
250-1@1#755,,,1747,18
250-1@1#755,,,1751,19
250-1@1#755,,,1764,20
250-1@1#755,,,1766,21
250-1@1#755,,,1752,22
250-1@1#755,,,1756,23
250-1@1#755,,,1730,24
250-1@1#755,,,5181,25
250-1@1#755,,,1784,26
250-1@1#755,,,1786,27
250-1@1#755,,,1782,28
250-1@1#755,,,1780,29
250-1@1#755,,,1788,30
250-1@1#755,,,1792,31
250-1@1#755,,,5456,32
250-1@1#755,,,5453,33
250-1@1#755,,,2079,34
250-1@1#755,,,5839,35
250-1@1#755,,,2076,36
250-1@1#755,,,5840,37
250-1@1#755,,,2074,38
250-1@1#755,,,1630,39
250-1@1#755,,,1625,40
250-1@1#755,,,5842,41
250-1@1#755,08:30:00,08:30:00,5329,42
250-1@1#825,08:25:00,08:25:00,5742,1
250-1@1#825,,,2472,2
250-1@1#825,,,2471,3
250-1@1#825,,,2469,4
250-1@1#825,,,5988,5
250-1@1#825,,,1317,6
250-1@1#825,,,1320,7
250-1@1#825,,,1318,8
250-1@1#825,,,1312,9
250-1@1#825,,,1311,10
250-1@1#825,,,5198,11
250-1@1#825,,,1299,12
250-1@1#825,,,1295,13
250-1@1#825,,,1289,14
250-1@1#825,,,1874,15
250-1@1#825,,,1870,16
250-1@1#825,,,1880,17
250-1@1#825,,,1747,18
250-1@1#825,,,1751,19
250-1@1#825,,,1764,20
250-1@1#825,,,1766,21
250-1@1#825,,,1752,22
250-1@1#825,,,1756,23
250-1@1#825,,,1730,24
250-1@1#825,,,5181,25
250-1@1#825,,,1784,26
250-1@1#825,,,1786,27
250-1@1#825,,,1782,28
250-1@1#825,,,1780,29
250-1@1#825,,,1788,30
250-1@1#825,,,1792,31
250-1@1#825,,,5456,32
250-1@1#825,,,5453,33
250-1@1#825,,,2079,34
250-1@1#825,,,5839,35
250-1@1#825,,,2076,36
250-1@1#825,,,5840,37
250-1@1#825,,,2074,38
250-1@1#825,,,1630,39
250-1@1#825,,,1625,40
250-1@1#825,,,5842,41
250-1@1#825,09:00:00,09:00:00,5329,42
250-1@1#850,08:50:00,08:50:00,5742,1
250-1@1#850,,,2472,2
250-1@1#850,,,2471,3
250-1@1#850,,,2469,4
250-1@1#850,,,5988,5
250-1@1#850,,,1317,6
250-1@1#850,,,1320,7
250-1@1#850,,,1318,8
250-1@1#850,,,1312,9
250-1@1#850,,,1311,10
250-1@1#850,,,5198,11
250-1@1#850,,,1299,12
250-1@1#850,,,1295,13
250-1@1#850,,,1289,14
250-1@1#850,,,1874,15
250-1@1#850,,,1870,16
250-1@1#850,,,1880,17
250-1@1#850,,,1747,18
250-1@1#850,,,1751,19
250-1@1#850,,,1764,20
250-1@1#850,,,1766,21
250-1@1#850,,,1752,22
250-1@1#850,,,1756,23
250-1@1#850,,,1730,24
250-1@1#850,,,5181,25
250-1@1#850,,,1784,26
250-1@1#850,,,1786,27
250-1@1#850,,,1782,28
250-1@1#850,,,1780,29
250-1@1#850,,,1788,30
250-1@1#850,,,1792,31
250-1@1#850,,,5456,32
250-1@1#850,,,5453,33
250-1@1#850,,,2079,34
250-1@1#850,,,5839,35
250-1@1#850,,,2076,36
250-1@1#850,,,5840,37
250-1@1#850,,,2074,38
250-1@1#850,,,1630,39
250-1@1#850,,,1625,40
250-1@1#850,,,5842,41
250-1@1#850,09:25:00,09:25:00,5329,42
250-1@1#915,09:15:00,09:15:00,5742,1
250-1@1#915,,,2472,2
250-1@1#915,,,2471,3
250-1@1#915,,,2469,4
250-1@1#915,,,5988,5
250-1@1#915,,,1317,6
250-1@1#915,,,1320,7
250-1@1#915,,,1318,8
250-1@1#915,,,1312,9
250-1@1#915,,,1311,10
250-1@1#915,,,5198,11
250-1@1#915,,,1299,12
250-1@1#915,,,1295,13
250-1@1#915,,,1289,14
250-1@1#915,,,1874,15
250-1@1#915,,,1870,16
250-1@1#915,,,1880,17
250-1@1#915,,,1747,18
250-1@1#915,,,1751,19
250-1@1#915,,,1764,20
250-1@1#915,,,1766,21
250-1@1#915,,,1752,22
250-1@1#915,,,1756,23
250-1@1#915,,,1730,24
250-1@1#915,,,5181,25
250-1@1#915,,,1784,26
250-1@1#915,,,1786,27
250-1@1#915,,,1782,28
250-1@1#915,,,1780,29
250-1@1#915,,,1788,30
250-1@1#915,,,1792,31
250-1@1#915,,,5456,32
250-1@1#915,,,5453,33
250-1@1#915,,,2079,34
250-1@1#915,,,5839,35
250-1@1#915,,,2076,36
250-1@1#915,,,5840,37
250-1@1#915,,,2074,38
250-1@1#915,,,1630,39
250-1@1#915,,,1625,40
250-1@1#915,,,5842,41
250-1@1#915,09:50:00,09:50:00,5329,42
250-1@1#940,09:40:00,09:40:00,5742,1
250-1@1#940,,,2472,2
250-1@1#940,,,2471,3
250-1@1#940,,,2469,4
250-1@1#940,,,5988,5
250-1@1#940,,,1317,6
250-1@1#940,,,1320,7
250-1@1#940,,,1318,8
250-1@1#940,,,1312,9
250-1@1#940,,,1311,10
250-1@1#940,,,5198,11
250-1@1#940,,,1299,12
250-1@1#940,,,1295,13
250-1@1#940,,,1289,14
250-1@1#940,,,1874,15
250-1@1#940,,,1870,16
250-1@1#940,,,1880,17
250-1@1#940,,,1747,18
250-1@1#940,,,1751,19
250-1@1#940,,,1764,20
250-1@1#940,,,1766,21
250-1@1#940,,,1752,22
250-1@1#940,,,1756,23
250-1@1#940,,,1730,24
250-1@1#940,,,5181,25
250-1@1#940,,,1784,26
250-1@1#940,,,1786,27
250-1@1#940,,,1782,28
250-1@1#940,,,1780,29
250-1@1#940,,,1788,30
250-1@1#940,,,1792,31
250-1@1#940,,,5456,32
250-1@1#940,,,5453,33
250-1@1#940,,,2079,34
250-1@1#940,,,5839,35
250-1@1#940,,,2076,36
250-1@1#940,,,5840,37
250-1@1#940,,,2074,38
250-1@1#940,,,1630,39
250-1@1#940,,,1625,40
250-1@1#940,,,5842,41
250-1@1#940,10:15:00,10:15:00,5329,42
250-1@1#1005,10:05:00,10:05:00,5742,1
250-1@1#1005,,,2472,2
250-1@1#1005,,,2471,3
250-1@1#1005,,,2469,4
250-1@1#1005,,,5988,5
250-1@1#1005,,,1317,6
250-1@1#1005,,,1320,7
250-1@1#1005,,,1318,8
250-1@1#1005,,,1312,9
250-1@1#1005,,,1311,10
250-1@1#1005,,,5198,11
250-1@1#1005,,,1299,12
250-1@1#1005,,,1295,13
250-1@1#1005,,,1289,14
250-1@1#1005,,,1874,15
250-1@1#1005,,,1870,16
250-1@1#1005,,,1880,17
250-1@1#1005,,,1747,18
250-1@1#1005,,,1751,19
250-1@1#1005,,,1764,20
250-1@1#1005,,,1766,21
250-1@1#1005,,,1752,22
250-1@1#1005,,,1756,23
250-1@1#1005,,,1730,24
250-1@1#1005,,,5181,25
250-1@1#1005,,,1784,26
250-1@1#1005,,,1786,27
