trip_id,arrival_time,departure_time,stop_id,stop_sequence
T3-2@1#520,05:20:00,05:20:00,1321,1
T3-2@1#520,,,851,2
T3-2@1#520,,,853,3
T3-2@1#520,,,874,4
T3-2@1#520,,,870,5
T3-2@1#520,,,849,6
T3-2@1#520,,,842,7
T3-2@1#520,,,839,8
T3-2@1#520,,,829,9
T3-2@1#520,,,5178,10
T3-2@1#520,,,5177,11
T3-2@1#520,,,830,12
T3-2@1#520,,,840,13
T3-2@1#520,,,844,14
T3-2@1#520,,,850,15
T3-2@1#520,,,872,16
T3-2@1#520,,,882,17
T3-2@1#520,,,884,18
T3-2@1#520,,,886,19
T3-2@1#520,,,6472,20
T3-2@1#520,,,6050,21
T3-2@1#520,,,6468,22
T3-2@1#520,,,1006,23
T3-2@1#520,,,1353,24
T3-2@1#520,,,1355,25
T3-2@1#520,,,1385,26
T3-2@1#520,,,1388,27
T3-2@1#520,,,5678,28
T3-2@1#520,,,1407,29
T3-2@1#520,,,1414,30
T3-2@1#520,,,1416,31
T3-2@1#520,,,1422,32
T3-2@1#520,,,1701,33
T3-2@1#520,,,1709,34
T3-2@1#520,,,1715,35
T3-2@1#520,,,1722,36
T3-2@1#520,,,1727,37
T3-2@1#520,,,6521,38
T3-2@1#520,,,1754,39
T3-2@1#520,,,1759,40
T3-2@1#520,,,1761,41
T3-2@1#520,,,1804,42
T3-2@1#520,,,1806,43
T3-2@1#520,,,1808,44
T3-2@1#520,,,1822,45
T3-2@1#520,,,1830,46
T3-2@1#520,,,1832,47
T3-2@1#520,,,1849,48
T3-2@1#520,,,1851,49
T3-2@1#520,,,1846,50
T3-2@1#520,,,1847,51
T3-2@1#520,,,1857,52
T3-2@1#520,,,2136,53
T3-2@1#520,,,2121,54
T3-2@1#520,,,2142,55
T3-2@1#520,,,2159,56
T3-2@1#520,,,2164,57
T3-2@1#520,,,2209,58
T3-2@1#520,,,2213,59
T3-2@1#520,,,2299,60
T3-2@1#520,,,2301,61
T3-2@1#520,,,2314,62
T3-2@1#520,,,2226,63
T3-2@1#520,,,2229,64
T3-2@1#520,,,3542,65
T3-2@1#520,,,3545,66
T3-2@1#520,,,3552,67
T3-2@1#520,,,3604,68
T3-2@1#520,,,3566,69
T3-2@1#520,,,3568,70
T3-2@1#520,,,3558,71
T3-2@1#520,,,3557,72
T3-2@1#520,06:05:00,06:05:00,3529,73
T3-2@1#540,05:40:00,05:40:00,1321,1
T3-2@1#540,,,851,2
T3-2@1#540,,,853,3
