trip_id,arrival_time,departure_time,stop_id,stop_sequence
R101-1@3#820,08:20:00,08:20:00,419,1
R101-1@3#820,,,412,2
R101-1@3#820,,,408,3
R101-1@3#820,,,405,4
R101-1@3#820,,,313,5
R101-1@3#820,,,5902,6
R101-1@3#820,,,305,7
R101-1@3#820,,,287,8
R101-1@3#820,,,284,9
R101-1@3#820,,,279,10
R101-1@3#820,,,154,11
R101-1@3#820,,,149,12
R101-1@3#820,,,127,13
R101-1@3#820,,,1064,14
R101-1@3#820,,,676,15
R101-1@3#820,,,723,16
R101-1@3#820,,,910,17
R101-1@3#820,,,928,18
R101-1@3#820,,,1688,19
R101-1@3#820,,,1690,20
R101-1@3#820,,,1726,21
R101-1@3#820,,,1784,22
R101-1@3#820,,,1792,23
R101-1@3#820,,,2079,24
R101-1@3#820,,,2076,25
R101-1@3#820,,,2074,26
R101-1@3#820,,,1630,27
R101-1@3#820,09:10:00,09:10:00,1625,28
R101-1@3#920,09:20:00,09:20:00,419,1
R101-1@3#920,,,412,2
R101-1@3#920,,,408,3
R101-1@3#920,,,405,4
R101-1@3#920,,,313,5
R101-1@3#920,,,5902,6
R101-1@3#920,,,305,7
R101-1@3#920,,,287,8
R101-1@3#920,,,284,9
R101-1@3#920,,,279,10
R101-1@3#920,,,154,11
R101-1@3#920,,,149,12
R101-1@3#920,,,127,13
R101-1@3#920,,,1064,14
R101-1@3#920,,,676,15
R101-1@3#920,,,723,16
R101-1@3#920,,,910,17
R101-1@3#920,,,928,18
R101-1@3#920,,,1688,19
R101-1@3#920,,,1690,20
R101-1@3#920,,,1726,21
R101-1@3#920,,,1784,22
R101-1@3#920,,,1792,23
R101-1@3#920,,,2079,24
R101-1@3#920,,,2076,25
R101-1@3#920,,,2074,26
R101-1@3#920,,,1630,27
R101-1@3#920,10:10:00,10:10:00,1625,28
R101-1@3#1010,10:10:00,10:10:00,419,1
R101-1@3#1010,,,412,2
R101-1@3#1010,,,408,3
R101-1@3#1010,,,405,4
R101-1@3#1010,,,313,5
R101-1@3#1010,,,5902,6
R101-1@3#1010,,,305,7
R101-1@3#1010,,,287,8
R101-1@3#1010,,,284,9
R101-1@3#1010,,,279,10
R101-1@3#1010,,,154,11
R101-1@3#1010,,,149,12
R101-1@3#1010,,,127,13
R101-1@3#1010,,,1064,14
R101-1@3#1010,,,676,15
R101-1@3#1010,,,723,16
R101-1@3#1010,,,910,17
R101-1@3#1010,,,928,18
R101-1@3#1010,,,1688,19
R101-1@3#1010,,,1690,20
R101-1@3#1010,,,1726,21
R101-1@3#1010,,,1784,22
R101-1@3#1010,,,1792,23
R101-1@3#1010,,,2079,24
R101-1@3#1010,,,2076,25
R101-1@3#1010,,,2074,26
R101-1@3#1010,,,1630,27
R101-1@3#1010,11:00:00,11:00:00,1625,28
R101-1@3#1106,11:06:00,11:06:00,419,1
R101-1@3#1106,,,412,2
R101-1@3#1106,,,408,3
R101-1@3#1106,,,405,4
R101-1@3#1106,,,313,5
R101-1@3#1106,,,5902,6
R101-1@3#1106,,,305,7
R101-1@3#1106,,,287,8
R101-1@3#1106,,,284,9
R101-1@3#1106,,,279,10
R101-1@3#1106,,,154,11
R101-1@3#1106,,,149,12
R101-1@3#1106,,,127,13
R101-1@3#1106,,,1064,14
R101-1@3#1106,,,676,15
R101-1@3#1106,,,723,16
R101-1@3#1106,,,910,17
R101-1@3#1106,,,928,18
R101-1@3#1106,,,1688,19
R101-1@3#1106,,,1690,20
R101-1@3#1106,,,1726,21
R101-1@3#1106,,,1784,22
R101-1@3#1106,,,1792,23
R101-1@3#1106,,,2079,24
R101-1@3#1106,,,2076,25
R101-1@3#1106,,,2074,26
R101-1@3#1106,,,1630,27
R101-1@3#1106,11:56:00,11:56:00,1625,28
R101-1@3#1203,12:03:00,12:03:00,419,1
R101-1@3#1203,,,412,2
R101-1@3#1203,,,408,3
R101-1@3#1203,,,405,4
R101-1@3#1203,,,313,5
R101-1@3#1203,,,5902,6
R101-1@3#1203,,,305,7
R101-1@3#1203,,,287,8
R101-1@3#1203,,,284,9
R101-1@3#1203,,,279,10
R101-1@3#1203,,,154,11
R101-1@3#1203,,,149,12
R101-1@3#1203,,,127,13
R101-1@3#1203,,,1064,14
R101-1@3#1203,,,676,15
R101-1@3#1203,,,723,16
R101-1@3#1203,,,910,17
R101-1@3#1203,,,928,18
R101-1@3#1203,,,1688,19
R101-1@3#1203,,,1690,20
R101-1@3#1203,,,1726,21
R101-1@3#1203,,,1784,22
R101-1@3#1203,,,1792,23
R101-1@3#1203,,,2079,24
R101-1@3#1203,,,2076,25
R101-1@3#1203,,,2074,26
R101-1@3#1203,,,1630,27
R101-1@3#1203,12:53:00,12:53:00,1625,28
R101-1@3#1300,13:00:00,13:00:00,419,1
R101-1@3#1300,,,412,2
R101-1@3#1300,,,408,3
R101-1@3#1300,,,405,4
R101-1@3#1300,,,313,5
R101-1@3#1300,,,5902,6
R101-1@3#1300,,,305,7
R101-1@3#1300,,,287,8
R101-1@3#1300,,,284,9
R101-1@3#1300,,,279,10
R101-1@3#1300,,,154,11
R101-1@3#1300,,,149,12
R101-1@3#1300,,,127,13
R101-1@3#1300,,,1064,14
R101-1@3#1300,,,676,15
R101-1@3#1300,,,723,16
R101-1@3#1300,,,910,17
R101-1@3#1300,,,928,18
R101-1@3#1300,,,1688,19
R101-1@3#1300,,,1690,20
R101-1@3#1300,,,1726,21
R101-1@3#1300,,,1784,22
R101-1@3#1300,,,1792,23
R101-1@3#1300,,,2079,24
R101-1@3#1300,,,2076,25
R101-1@3#1300,,,2074,26
R101-1@3#1300,,,1630,27
R101-1@3#1300,13:50:00,13:50:00,1625,28
R101-1@3#1355,13:55:00,13:55:00,419,1
R101-1@3#1355,,,412,2
R101-1@3#1355,,,408,3
R101-1@3#1355,,,405,4
R101-1@3#1355,,,313,5
R101-1@3#1355,,,5902,6
R101-1@3#1355,,,305,7
R101-1@3#1355,,,287,8
R101-1@3#1355,,,284,9
R101-1@3#1355,,,279,10
R101-1@3#1355,,,154,11
R101-1@3#1355,,,149,12
R101-1@3#1355,,,127,13
R101-1@3#1355,,,1064,14
R101-1@3#1355,,,676,15
R101-1@3#1355,,,723,16
R101-1@3#1355,,,910,17
R101-1@3#1355,,,928,18
R101-1@3#1355,,,1688,19
R101-1@3#1355,,,1690,20
R101-1@3#1355,,,1726,21
R101-1@3#1355,,,1784,22
R101-1@3#1355,,,1792,23
R101-1@3#1355,,,2079,24
R101-1@3#1355,,,2076,25
R101-1@3#1355,,,2074,26
R101-1@3#1355,,,1630,27
R101-1@3#1355,14:45:00,14:45:00,1625,28
R101-1@3#1450,14:50:00,14:50:00,419,1
R101-1@3#1450,,,412,2
R101-1@3#1450,,,408,3
R101-1@3#1450,,,405,4
R101-1@3#1450,,,313,5
R101-1@3#1450,,,5902,6
R101-1@3#1450,,,305,7
R101-1@3#1450,,,287,8
R101-1@3#1450,,,284,9
R101-1@3#1450,,,279,10
R101-1@3#1450,,,154,11
R101-1@3#1450,,,149,12
R101-1@3#1450,,,127,13
R101-1@3#1450,,,1064,14
R101-1@3#1450,,,676,15
R101-1@3#1450,,,723,16
R101-1@3#1450,,,910,17
R101-1@3#1450,,,928,18
R101-1@3#1450,,,1688,19
R101-1@3#1450,,,1690,20
R101-1@3#1450,,,1726,21
R101-1@3#1450,,,1784,22
R101-1@3#1450,,,1792,23
R101-1@3#1450,,,2079,24
R101-1@3#1450,,,2076,25
R101-1@3#1450,,,2074,26
R101-1@3#1450,,,1630,27
R101-1@3#1450,15:40:00,15:40:00,1625,28
R101-1@3#1600,16:00:00,16:00:00,419,1
R101-1@3#1600,,,412,2
R101-1@3#1600,,,408,3
R101-1@3#1600,,,405,4
R101-1@3#1600,,,313,5
R101-1@3#1600,,,5902,6
R101-1@3#1600,,,305,7
R101-1@3#1600,,,287,8
R101-1@3#1600,,,284,9
R101-1@3#1600,,,279,10
R101-1@3#1600,,,154,11
R101-1@3#1600,,,149,12
R101-1@3#1600,,,127,13
R101-1@3#1600,,,1064,14
R101-1@3#1600,,,676,15
R101-1@3#1600,,,723,16
R101-1@3#1600,,,910,17
R101-1@3#1600,,,928,18
R101-1@3#1600,,,1688,19
R101-1@3#1600,,,1690,20
R101-1@3#1600,,,1726,21
R101-1@3#1600,,,1784,22
R101-1@3#1600,,,1792,23
R101-1@3#1600,,,2079,24
R101-1@3#1600,,,2076,25
R101-1@3#1600,,,2074,26
R101-1@3#1600,,,1630,27
R101-1@3#1600,16:50:00,16:50:00,1625,28
R101-1@3#1655,16:55:00,16:55:00,419,1
R101-1@3#1655,,,412,2
