trip_id,arrival_time,departure_time,stop_id,stop_sequence
170-1@1#640,06:40:00,06:40:00,954,1
170-1@1#640,,,920,2
170-1@1#640,,,6425,3
170-1@1#640,,,6424,4
170-1@1#640,,,6426,5
170-1@1#640,,,942,6
170-1@1#640,,,933,7
170-1@1#640,,,928,8
170-1@1#640,,,931,9
170-1@1#640,,,5895,10
170-1@1#640,,,982,11
170-1@1#640,,,980,12
170-1@1#640,,,865,13
170-1@1#640,,,817,14
170-1@1#640,,,814,15
170-1@1#640,,,772,16
170-1@1#640,,,833,17
170-1@1#640,,,836,18
170-1@1#640,,,840,19
170-1@1#640,,,844,20
170-1@1#640,,,850,21
170-1@1#640,,,871,22
170-1@1#640,,,875,23
170-1@1#640,,,854,24
170-1@1#640,,,852,25
170-1@1#640,,,1323,26
170-1@1#640,,,1326,27
170-1@1#640,,,6381,28
170-1@1#640,,,6382,29
170-1@1#640,,,6385,30
170-1@1#640,,,6516,31
170-1@1#640,,,6369,32
170-1@1#640,,,1427,33
170-1@1#640,,,6414,34
170-1@1#640,,,1456,35
170-1@1#640,,,1458,36
170-1@1#640,,,6413,37
170-1@1#640,,,1459,38
170-1@1#640,,,1547,39
170-1@1#640,,,1550,40
170-1@1#640,,,1556,41
170-1@1#640,,,5414,42
170-1@1#640,07:15:00,07:15:00,5404,43
170-1@1#700,07:00:00,07:00:00,954,1
170-1@1#700,,,920,2
170-1@1#700,,,6425,3
170-1@1#700,,,6424,4
170-1@1#700,,,6426,5
170-1@1#700,,,942,6
170-1@1#700,,,933,7
170-1@1#700,,,928,8
170-1@1#700,,,931,9
170-1@1#700,,,5895,10
170-1@1#700,,,982,11
170-1@1#700,,,980,12
170-1@1#700,,,865,13
170-1@1#700,,,817,14
170-1@1#700,,,814,15
170-1@1#700,,,772,16
170-1@1#700,,,833,17
170-1@1#700,,,836,18
170-1@1#700,,,840,19
170-1@1#700,,,844,20
170-1@1#700,,,850,21
170-1@1#700,,,871,22
170-1@1#700,,,875,23
170-1@1#700,,,854,24
170-1@1#700,,,852,25
170-1@1#700,,,1323,26
170-1@1#700,,,1326,27
170-1@1#700,,,6381,28
170-1@1#700,,,6382,29
170-1@1#700,,,6385,30
170-1@1#700,,,6516,31
170-1@1#700,,,6369,32
170-1@1#700,,,1427,33
170-1@1#700,,,6414,34
170-1@1#700,,,1456,35
170-1@1#700,,,1458,36
170-1@1#700,,,6413,37
170-1@1#700,,,1459,38
170-1@1#700,,,1547,39
170-1@1#700,,,1550,40
170-1@1#700,,,1556,41
170-1@1#700,,,5414,42
170-1@1#700,07:35:00,07:35:00,5404,43
170-1@1#715,07:15:00,07:15:00,954,1
170-1@1#715,,,920,2
170-1@1#715,,,6425,3
170-1@1#715,,,6424,4
170-1@1#715,,,6426,5
170-1@1#715,,,942,6
170-1@1#715,,,933,7
170-1@1#715,,,928,8
170-1@1#715,,,931,9
170-1@1#715,,,5895,10
170-1@1#715,,,982,11
170-1@1#715,,,980,12
170-1@1#715,,,865,13
170-1@1#715,,,817,14
170-1@1#715,,,814,15
170-1@1#715,,,772,16
170-1@1#715,,,833,17
170-1@1#715,,,836,18
170-1@1#715,,,840,19
170-1@1#715,,,844,20
170-1@1#715,,,850,21
170-1@1#715,,,871,22
170-1@1#715,,,875,23
170-1@1#715,,,854,24
170-1@1#715,,,852,25
170-1@1#715,,,1323,26
170-1@1#715,,,1326,27
170-1@1#715,,,6381,28
170-1@1#715,,,6382,29
170-1@1#715,,,6385,30
170-1@1#715,,,6516,31
170-1@1#715,,,6369,32
170-1@1#715,,,1427,33
170-1@1#715,,,6414,34
170-1@1#715,,,1456,35
170-1@1#715,,,1458,36
170-1@1#715,,,6413,37
170-1@1#715,,,1459,38
170-1@1#715,,,1547,39
170-1@1#715,,,1550,40
170-1@1#715,,,1556,41
170-1@1#715,,,5414,42
170-1@1#715,07:55:00,07:55:00,5404,43
170-1@1#730,07:30:00,07:30:00,954,1
170-1@1#730,,,920,2
170-1@1#730,,,6425,3
170-1@1#730,,,6424,4
170-1@1#730,,,6426,5
170-1@1#730,,,942,6
170-1@1#730,,,933,7
170-1@1#730,,,928,8
170-1@1#730,,,931,9
170-1@1#730,,,5895,10
170-1@1#730,,,982,11
170-1@1#730,,,980,12
170-1@1#730,,,865,13
170-1@1#730,,,817,14
170-1@1#730,,,814,15
170-1@1#730,,,772,16
170-1@1#730,,,833,17
170-1@1#730,,,836,18
170-1@1#730,,,840,19
170-1@1#730,,,844,20
170-1@1#730,,,850,21
170-1@1#730,,,871,22
170-1@1#730,,,875,23
170-1@1#730,,,854,24
170-1@1#730,,,852,25
170-1@1#730,,,1323,26
170-1@1#730,,,1326,27
170-1@1#730,,,6381,28
170-1@1#730,,,6382,29
170-1@1#730,,,6385,30
170-1@1#730,,,6516,31
170-1@1#730,,,6369,32
170-1@1#730,,,1427,33
170-1@1#730,,,6414,34
170-1@1#730,,,1456,35
170-1@1#730,,,1458,36
170-1@1#730,,,6413,37
170-1@1#730,,,1459,38
170-1@1#730,,,1547,39
170-1@1#730,,,1550,40
170-1@1#730,,,1556,41
170-1@1#730,,,5414,42
170-1@1#730,08:10:00,08:10:00,5404,43
170-1@1#800,08:00:00,08:00:00,954,1
170-1@1#800,,,920,2
170-1@1#800,,,6425,3
170-1@1#800,,,6424,4
170-1@1#800,,,6426,5
170-1@1#800,,,942,6
170-1@1#800,,,933,7
170-1@1#800,,,928,8
170-1@1#800,,,931,9
170-1@1#800,,,5895,10
170-1@1#800,,,982,11
170-1@1#800,,,980,12
170-1@1#800,,,865,13
170-1@1#800,,,817,14
170-1@1#800,,,814,15
170-1@1#800,,,772,16
170-1@1#800,,,833,17
170-1@1#800,,,836,18
170-1@1#800,,,840,19
170-1@1#800,,,844,20
170-1@1#800,,,850,21
170-1@1#800,,,871,22
170-1@1#800,,,875,23
170-1@1#800,,,854,24
170-1@1#800,,,852,25
170-1@1#800,,,1323,26
170-1@1#800,,,1326,27
170-1@1#800,,,6381,28
170-1@1#800,,,6382,29
170-1@1#800,,,6385,30
170-1@1#800,,,6516,31
170-1@1#800,,,6369,32
170-1@1#800,,,1427,33
170-1@1#800,,,6414,34
170-1@1#800,,,1456,35
170-1@1#800,,,1458,36
170-1@1#800,,,6413,37
170-1@1#800,,,1459,38
170-1@1#800,,,1547,39
170-1@1#800,,,1550,40
170-1@1#800,,,1556,41
170-1@1#800,,,5414,42
170-1@1#800,08:40:00,08:40:00,5404,43
271-2@1#530,05:30:00,05:30:00,1650,1
271-2@1#530,,,1629,2
271-2@1#530,,,2072,3
271-2@1#530,,,2075,4
271-2@1#530,,,2069,5
271-2@1#530,,,2068,6
271-2@1#530,,,1796,7
271-2@1#530,,,1795,8
271-2@1#530,,,1791,9
271-2@1#530,,,1789,10
271-2@1#530,,,1790,11
271-2@1#530,,,1781,12
271-2@1#530,,,1787,13
271-2@1#530,,,1785,14
271-2@1#530,,,1783,15
271-2@1#530,,,1711,16
271-2@1#530,,,1715,17
271-2@1#530,,,1720,18
271-2@1#530,,,1717,19
271-2@1#530,,,1695,20
271-2@1#530,,,1735,21
