trip_id,arrival_time,departure_time,stop_id,stop_sequence
T1-2@1#520,05:20:00,05:20:00,1511,1
T1-2@1#520,,,1563,2
T1-2@1#520,,,1566,3
T1-2@1#520,,,1555,4
T1-2@1#520,,,1554,5
T1-2@1#520,,,6433,6
T1-2@1#520,,,5415,7
T1-2@1#520,,,6500,8
T1-2@1#520,,,1543,9
T1-2@1#520,,,1544,10
T1-2@1#520,,,1548,11
T1-2@1#520,,,1590,12
T1-2@1#520,,,1592,13
T1-2@1#520,,,1606,14
T1-2@1#520,,,2067,15
T1-2@1#520,,,2078,16
T1-2@1#520,,,2085,17
T1-2@1#520,,,2127,18
T1-2@1#520,,,2143,19
T1-2@1#520,,,2145,20
T1-2@1#520,,,2231,21
T1-2@1#520,,,2233,22
T1-2@1#520,,,2003,23
T1-2@1#520,,,2005,24
T1-2@1#520,,,2035,25
T1-2@1#520,,,2038,26
T1-2@1#520,,,2029,27
T1-2@1#520,,,2694,28
T1-2@1#520,,,2698,29
T1-2@1#520,,,6484,30
T1-2@1#520,,,2723,31
T1-2@1#520,,,6026,32
T1-2@1#520,,,2726,33
T1-2@1#520,,,6106,34
T1-2@1#520,,,6107,35
T1-2@1#520,,,2729,36
T1-2@1#520,,,2724,37
T1-2@1#520,,,2731,38
T1-2@1#520,,,2979,39
T1-2@1#520,,,2984,40
T1-2@1#520,,,2987,41
T1-2@1#520,,,2994,42
T1-2@1#520,,,2995,43
T1-2@1#520,,,3008,44
T1-2@1#520,,,3009,45
T1-2@1#520,,,3011,46
T1-2@1#520,,,3013,47
T1-2@1#520,,,3061,48
T1-2@1#520,,,3067,49
T1-2@1#520,,,5416,50
T1-2@1#520,,,5582,51
T1-2@1#520,,,3069,52
T1-2@1#520,,,3082,53
T1-2@1#520,,,3084,54
T1-2@1#520,,,3088,55
T1-2@1#520,,,3081,56
T1-2@1#520,,,3851,57
T1-2@1#520,,,3856,58
T1-2@1#520,,,3859,59
T1-2@1#520,,,6124,60
T1-2@1#520,,,5725,61
T1-2@1#520,,,3890,62
T1-2@1#520,,,5557,63
T1-2@1#520,,,5280,64
T1-2@1#520,,,4010,65
T1-2@1#520,06:13:00,06:13:00,5503,66
T1-2@1#530,05:30:00,05:30:00,1511,1
T1-2@1#530,,,1563,2
T1-2@1#530,,,1566,3
T1-2@1#530,,,1555,4
T1-2@1#530,,,1554,5
T1-2@1#530,,,6433,6
T1-2@1#530,,,5415,7
T1-2@1#530,,,6500,8
T1-2@1#530,,,1543,9
T1-2@1#530,,,1544,10
T1-2@1#530,,,1548,11
T1-2@1#530,,,1590,12
T1-2@1#530,,,1592,13
T1-2@1#530,,,1606,14
T1-2@1#530,,,2067,15
T1-2@1#530,,,2078,16
T1-2@1#530,,,2085,17
T1-2@1#530,,,2127,18
